GmtTime,Open,High,Low,Close,Volume
2023-06-05 03:45:00+00:00,1947.08,1947.52,1946.0,1947.14,42
2023-06-05 04:00:00+00:00,1947.28,1947.28,1944.99,1945.11,41
2023-06-05 04:15:00+00:00,1945.02,1946.05,1944.8,1945.81,40
2023-06-05 04:30:00+00:00,1946.04,1946.21,1945.2,1945.61,38
2023-06-05 04:45:00+00:00,1945.41,1946.04,1944.6,1946.04,41
2023-06-05 05:00:00+00:00,1945.78,1946.04,1943.1,1943.89,42
2023-06-05 05:15:00+00:00,1943.88,1944.49,1943.0,1944.32,40
2023-06-05 05:30:00+00:00,1944.32,1945.65,1943.62,1945.65,40
2023-06-05 05:45:00+00:00,1945.44,1946.54,1944.93,1944.98,39
2023-06-05 06:00:00+00:00,1944.33,1945.44,1943.09,1943.45,38
2023-06-05 06:15:00+00:00,1943.36,1943.49,1941.9,1942.65,39
2023-06-05 06:30:00+00:00,1942.86,1943.46,1942.73,1943.0,37
2023-06-05 06:45:00+00:00,1942.93,1943.54,1942.6,1942.82,38
2023-06-05 07:00:00+00:00,1942.64,1943.88,1941.91,1943.41,39
2023-06-05 07:15:00+00:00,1943.14,1943.54,1941.78,1942.43,38
2023-06-05 07:30:00+00:00,1941.76,1942.51,1939.82,1940.69,38
2023-06-05 07:45:00+00:00,1939.72,1940.39,1938.93,1940.12,39
2023-06-05 08:00:00+00:00,1939.54,1943.47,1938.77,1942.93,38
2023-06-05 08:15:00+00:00,1942.75,1943.8,1941.66,1941.81,38
2023-06-05 08:30:00+00:00,1941.79,1942.03,1941.07,1941.15,38
2023-06-05 08:45:00+00:00,1941.63,1942.4,1941.05,1942.3,39
2023-06-05 09:00:00+00:00,1942.32,1942.61,1940.39,1942.61,40
2023-06-05 09:15:00+00:00,1942.01,1942.04,1940.4,1941.39,38
2023-06-05 09:30:00+00:00,1940.77,1945.64,1940.77,1944.16,39
2023-06-05 09:45:00+00:00,1944.54,1945.07,1944.22,1944.73,38
2023-06-05 10:00:00+00:00,1944.22,1944.94,1942.25,1943.12,41
2023-06-05 10:15:00+00:00,1942.82,1943.91,1942.82,1943.52,39
2023-06-05 10:30:00+00:00,1943.61,1945.62,1943.0,1943.84,38
2023-06-05 10:45:00+00:00,1943.68,1943.87,1942.6,1943.39,40
2023-06-05 11:00:00+00:00,1943.17,1943.95,1942.12,1942.35,39
2023-06-05 11:15:00+00:00,1941.98,1942.39,1939.5,1940.11,39
2023-06-05 11:30:00+00:00,1940.04,1940.3,1938.41,1939.35,40
2023-06-05 11:45:00+00:00,1939.63,1942.14,1939.39,1942.14,40
2023-06-05 12:00:00+00:00,1942.23,1942.23,1941.42,1942.02,39
2023-06-05 12:15:00+00:00,1941.73,1942.11,1939.94,1940.04,40
2023-06-05 12:30:00+00:00,1939.5,1939.97,1938.21,1939.54,39
2023-06-05 12:45:00+00:00,1940.42,1943.21,1939.28,1942.89,38
2023-06-05 13:00:00+00:00,1943.46,1945.17,1942.38,1944.98,38
2023-06-05 13:15:00+00:00,1945.38,1946.66,1944.65,1946.44,39
2023-06-05 13:30:00+00:00,1945.45,1946.47,1944.36,1945.18,39
2023-06-05 13:45:00+00:00,1945.44,1948.53,1945.44,1946.52,40
2023-06-05 14:00:00+00:00,1952.33,1961.07,1947.64,1960.2,36
2023-06-05 14:15:00+00:00,1960.05,1961.31,1955.51,1958.64,39
2023-06-05 14:30:00+00:00,1958.5,1958.89,1955.8,1958.24,39
2023-06-05 14:45:00+00:00,1958.05,1958.77,1956.05,1957.79,39
2023-06-05 15:00:00+00:00,1957.48,1958.5,1956.17,1956.97,40
2023-06-05 15:15:00+00:00,1957.32,1959.53,1956.6,1959.3,40
2023-06-05 15:30:00+00:00,1958.16,1958.88,1955.64,1956.53,40
2023-06-05 15:45:00+00:00,1956.99,1958.47,1956.1,1958.09,40
2023-06-05 16:00:00+00:00,1958.3,1960.75,1958.26,1960.47,39
2023-06-05 16:15:00+00:00,1960.3,1960.6,1958.64,1959.02,40
2023-06-05 16:30:00+00:00,1958.6,1958.84,1957.56,1957.6,39
2023-06-05 16:45:00+00:00,1957.65,1958.61,1956.5,1958.38,41
2023-06-05 17:00:00+00:00,1958.19,1958.71,1956.7,1958.71,39
2023-06-05 17:15:00+00:00,1958.46,1958.97,1957.75,1958.03,40
2023-06-05 17:30:00+00:00,1958.11,1959.36,1957.61,1959.3,39
2023-06-05 17:45:00+00:00,1959.23,1960.82,1959.23,1960.19,40
2023-06-05 18:00:00+00:00,1960.3,1960.68,1959.6,1960.44,40
2023-06-05 18:15:00+00:00,1960.45,1962.54,1960.3,1960.98,40
2023-06-05 18:30:00+00:00,1960.98,1962.35,1960.95,1961.92,39
2023-06-05 18:45:00+00:00,1961.83,1962.23,1960.71,1960.71,40
2023-06-05 19:00:00+00:00,1960.91,1962.2,1960.0,1961.89,41
2023-06-05 19:15:00+00:00,1962.16,1963.76,1961.9,1963.76,39
2023-06-05 19:30:00+00:00,1963.83,1963.88,1961.4,1961.91,41
2023-06-05 19:45:00+00:00,1961.86,1962.22,1961.15,1961.15,39
2023-06-05 20:00:00+00:00,1961.11,1961.58,1961.06,1961.13,39
2023-06-05 20:15:00+00:00,1961.06,1961.43,1960.99,1961.29,38
2023-06-05 20:30:00+00:00,1961.31,1961.34,1960.4,1961.21,39
2023-06-05 20:45:00+00:00,1961.41,1961.76,1960.9,1961.6,38
2023-06-05 21:00:00+00:00,1961.6,1961.6,1961.46,1961.46,2
2023-06-05 22:00:00+00:00,1961.34,1961.63,1961.05,1961.48,36
2023-06-05 22:15:00+00:00,1961.47,1961.53,1960.4,1960.88,42
2023-06-05 22:30:00+00:00,1960.87,1961.18,1960.1,1960.71,43
2023-06-05 22:45:00+00:00,1960.66,1962.39,1960.3,1962.26,41
2023-06-05 23:00:00+00:00,1962.47,1962.58,1961.61,1961.67,39
2023-06-05 23:15:00+00:00,1961.66,1962.55,1961.2,1962.4,40
2023-06-05 23:30:00+00:00,1962.16,1963.04,1961.2,1961.54,40
2023-06-05 23:45:00+00:00,1961.51,1961.92,1960.9,1961.24,41
2023-06-06 00:00:00+00:00,1961.4,1961.48,1960.94,1961.06,39
2023-06-06 00:15:00+00:00,1960.92,1961.22,1960.0,1960.97,40
2023-06-06 00:30:00+00:00,1961.02,1961.39,1960.0,1961.09,35
2023-06-06 00:45:00+00:00,1961.11,1961.11,1960.63,1961.02,39
2023-06-06 01:00:00+00:00,1960.71,1961.15,1959.59,1960.24,39
2023-06-06 01:15:00+00:00,1959.75,1960.9,1959.46,1960.2,37
2023-06-06 01:30:00+00:00,1959.82,1960.34,1959.2,1959.8,39
2023-06-06 01:45:00+00:00,1959.34,1960.42,1959.03,1960.02,40
2023-06-06 02:00:00+00:00,1960.6,1964.36,1959.93,1963.9,39
2023-06-06 02:15:00+00:00,1963.12,1963.6,1962.35,1962.56,39
2023-06-06 02:30:00+00:00,1962.7,1963.15,1959.66,1960.56,39
2023-06-06 02:45:00+00:00,1960.2,1960.8,1959.8,1960.8,39
2023-06-06 03:00:00+00:00,1960.67,1960.93,1959.84,1960.06,39
2023-06-06 03:15:00+00:00,1959.85,1960.08,1959.49,1959.84,38
2023-06-06 03:30:00+00:00,1959.8,1959.87,1958.4,1959.27,40
2023-06-06 03:45:00+00:00,1959.27,1960.13,1958.5,1959.19,40
2023-06-06 04:00:00+00:00,1959.37,1959.63,1958.6,1959.55,42
2023-06-06 04:15:00+00:00,1959.41,1960.16,1958.8,1960.03,42
2023-06-06 04:30:00+00:00,1959.78,1961.05,1959.08,1960.84,39
2023-06-06 04:45:00+00:00,1960.75,1961.15,1960.75,1961.15,39
2023-06-06 05:00:00+00:00,1961.56,1962.57,1961.13,1962.06,40
